Tag,Home Team,Away Team,Date,HPro,DPro,APro,HCor,ACor,AGol,Prog,HFull,AFull,Link
Py1,Resistencia SC,General Caballero JLM,2023-07-08 00:00:00,19,46,35,1,1,1.88,-,-1,-1,https://www.forebet.com/en/predictions-tips-resistencia-sc-general-caballero-jlm-1845380
Py2,12 de Octubre,Martín Ledesma,2023-07-08 00:00:00,45,34,21,2,1,2.88,-,-1,-1,https://www.forebet.com/en/predictions-tips-12-de-octubre-mart%C3%ADn-ledesma-1897745
Ar1,Gimnasia La Plata,Independiente,2023-07-08 01:00:00,37,41,22,1,1,2.32,-,-1,-1,https://www.forebet.com/en/predictions-tips-gimnasia-la-plata-independiente-1845690
Ve1,Carabobo,UCV FC,2023-07-08 01:00:00,51,36,13,2,0,2.29,-,-1,-1,https://www.forebet.com/en/predictions-tips-carabobo-ucv-fc-1850622
Cl1,Audax Italiano,CD Palestino,2023-07-08 01:00:00,40,35,25,2,0,2.38,-,-1,-1,https://www.forebet.com/en/predictions-tips-audax-italiano-cd-palestino-1844813
Br2,Novorizontino/SP,Atlético GO,2023-07-08 01:00:00,34,39,27,0,0,0.75,-,-1,-1,https://www.forebet.com/en/predictions-tips-novorizontinosp-atl%C3%A9tico-go-1876272
Ar5,Central Ballester,CA Lugano,2023-07-08 01:00:00,21,30,48,0,1,2.45,-,-1,-1,https://www.forebet.com/en/predictions-tips-central-ballester-ca-lugano-1866933
Ar5,Mercedes,Deportivo Muñiz,2023-07-08 01:00:00,27,43,30,0,0,2.17,-,-1,-1,https://www.forebet.com/en/predictions-tips-mercedes-deportivo-mu%C3%B1iz-1866934
Ar5,Argentino Rosario,Def. de Cambaceres,2023-07-08 01:00:00,39,30,31,2,1,2.56,-,-1,-1,https://www.forebet.com/en/predictions-tips-argentino-rosario-def-de-cambaceres-1866935
Ar5,Juventud Unida SM,El Porvenir,2023-07-08 01:00:00,35,21,44,0,2,1.97,-,-1,-1,https://www.forebet.com/en/predictions-tips-juventud-unida-sm-el-porvenir-1866936
Ar5,Dep. Paraguayo,Centro Español,2023-07-08 01:00:00,20,37,43,0,1,2.05,-,-1,-1,https://www.forebet.com/en/predictions-tips-dep-paraguayo-centro-espa%C3%B1ol-1866937
Ar3,Liniers Bahía Blanca,Santamarina Tandil,2023-07-08 01:00:00,34,26,40,1,2,2.5,-,-1,-1,https://www.forebet.com/en/predictions-tips-liniers-bah%C3%ADa-blanca-santamarina-tandil-1865304
Ar3,Sansinena,Club Cipolletti,2023-07-08 01:00:00,43,21,36,3,1,3.22,-,-1,-1,https://www.forebet.com/en/predictions-tips-sansinena-club-cipolletti-1865305
Ar3,Circulo Deportivo,CA Germinal,2023-07-08 01:00:00,56,14,30,1,0,0.75,-,-1,-1,https://www.forebet.com/en/predictions-tips-circulo-deportivo-ca-germinal-1865306
Ar3,Club Olimpo,Sol de Mayo,2023-07-08 01:00:00,41,27,32,2,0,2.19,-,-1,-1,https://www.forebet.com/en/predictions-tips-club-olimpo-sol-de-mayo-1865307
